,Conductivity,ODO - mg/l,ORP mV,Turbidity - FNU,pH,SSC (1s) - mg/l,Q - m3/s,V - m/s,Campaign,Date
0,2.4328090050331683,1.1360860973840974,2.182129214052998,1.4014005407815442,0.8904210188009143,1.6663151954778392,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:00
1,2.4326486600131068,1.1360860973840974,2.182129214052998,1.3989810666581313,0.8904210188009143,1.6640076813967168,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:01
2,2.4324882557705063,1.1360860973840974,2.1818435879447726,1.3995006613146106,0.8904210188009143,1.6645032320515885,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:02
3,2.4323277922616042,1.1360860973840974,2.1818435879447726,1.3993275321586789,0.8904210188009143,1.664338114367006,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:03
4,2.4323277922616042,1.1360860973840974,2.1818435879447726,1.400537989391946,0.8904210188009143,1.6654925582535234,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:04
5,2.4321672694425884,1.1360860973840974,2.1818435879447726,1.398634324538392,0.8904210188009143,1.6636769846076611,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:05
6,2.4321672694425884,1.1360860973840974,2.1818435879447726,1.3991543339582164,0.8904210188009143,1.6641729308328967,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:06
7,2.4321672694425884,1.1360860973840974,2.1818435879447726,1.398634324538392,0.8904210188009143,1.6636769846076611,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:07
8,2.4321672694425884,1.1360860973840974,2.1818435879447726,1.398634324538392,0.8904210188009143,1.6636769846076611,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:08
9,2.4321672694425884,1.1360860973840974,2.1818435879447726,1.3981136917305026,0.8904210188009143,1.6631804438413538,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:09
10,2.4320066872695985,1.1360860973840974,2.1818435879447726,1.4253711664389412,0.8904210188009143,1.6891765915566457,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:10
11,2.4320066872695985,1.1360860973840974,2.1818435879447726,1.5249151475398668,0.8904210188009143,1.7841142211260785,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:11
12,2.4318460456987254,1.1360860973840974,2.1818435879447726,1.4429498695778618,0.8904210188009143,1.7059418483653102,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:12
13,2.4318460456987254,1.1360860973840974,2.1818435879447726,1.4029488293444048,0.8904210188009143,1.6677918377059457,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:13
14,2.4316853446860116,1.1360860973840974,2.1818435879447726,1.4053463601757088,0.8904210188009143,1.6700784239106197,3.537819095073274,0.23968729234674033,BR-HW,2021-02-12 11:20:14
