"date","cond.","ODO.mg.L","ORP.mV","turb","pH","SSC_calc","campaign","Q_m3_s","V_m_s"
2021-02-12 11:20:49,270.6,13.68,151.6,25.38,7.77,46.6942317346905,"BR-HW",3450,1.73655
2021-02-12 11:20:50,270.6,13.68,151.6,25.34,7.77,46.6240424476104,"BR-HW",3450,1.73655
2021-02-12 11:20:51,270.6,13.67,151.6,25.34,7.77,46.6240424476104,"BR-HW",3450,1.73655
2021-02-12 11:20:52,270.6,13.67,151.6,23.75,7.77,43.8297741716334,"BR-HW",3450,1.73655
2021-02-12 11:20:53,270.6,13.67,151.6,29.87,7.77,54.5422703437063,"BR-HW",3450,1.73655
2021-02-12 11:20:54,270.6,13.68,151.6,21.61,7.77,40.0551213030218,"BR-HW",3450,1.73655
2021-02-12 11:20:55,270.7,13.68,151.6,23.66,7.77,43.6713543085555,"BR-HW",3450,1.73655
2021-02-12 11:20:56,270.7,13.68,151.6,24.22,7.77,44.6566290950723,"BR-HW",3450,1.73655
2021-02-12 11:20:57,270.7,13.68,151.6,24.14,7.77,44.5159406625053,"BR-HW",3450,1.73655
2021-02-12 11:20:58,270.7,13.68,151.6,24,7.77,44.2696839411669,"BR-HW",3450,1.73655
2021-02-12 11:20:59,270.7,13.68,151.6,24.39,7.77,44.9555207122777,"BR-HW",3450,1.73655
2021-02-12 11:21:00,270.7,13.68,151.6,24.77,7.77,45.6232838905363,"BR-HW",3450,1.73655
2021-02-12 11:21:01,270.7,13.68,151.6,25.41,7.77,46.7468703403463,"BR-HW",3450,1.73655
2021-02-12 11:21:02,270.7,13.68,151.6,29.37,7.77,53.6711853519943,"BR-HW",3450,1.73655
2021-02-12 11:21:03,270.8,13.68,151.6,24.4,7.77,44.9730995635204,"BR-HW",3450,1.73655
2021-02-12 11:21:04,270.8,13.68,151.6,29.42,7.77,53.7583245435335,"BR-HW",3450,1.73655
2021-02-12 11:21:05,270.8,13.68,151.6,24.73,7.77,45.5530154783039,"BR-HW",3450,1.73655
2021-02-12 11:21:06,270.8,13.68,151.6,25.26,7.77,46.4836484832951,"BR-HW",3450,1.73655
2021-02-12 11:21:07,270.8,13.68,151.6,25.38,7.77,46.6942317346905,"BR-HW",3450,1.73655
2021-02-12 11:21:08,270.7,13.67,151.6,25.15,7.77,46.2905731702123,"BR-HW",3450,1.73655
2021-02-12 11:21:09,270.7,13.67,151.6,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
2021-02-12 11:21:10,270.6,13.68,151.6,25.26,7.77,46.4836484832951,"BR-HW",3450,1.73655
2021-02-12 11:21:11,270.6,13.68,151.5,25.18,7.77,46.3432339420907,"BR-HW",3450,1.73655
2021-02-12 11:21:12,270.6,13.68,151.5,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
2021-02-12 11:21:13,270.5,13.68,151.6,25.1,7.77,46.2027987555914,"BR-HW",3450,1.73655
2021-02-12 11:21:14,270.5,13.68,151.6,25.17,7.77,46.3256806742256,"BR-HW",3450,1.73655
2021-02-12 11:21:15,270.5,13.68,151.6,25.22,7.77,46.413443789069,"BR-HW",3450,1.73655
2021-02-12 11:21:16,270.5,13.68,151.6,29.48,7.77,53.8628825287971,"BR-HW",3450,1.73655
2021-02-12 11:21:17,270.5,13.68,151.6,25.53,7.77,46.9573960408976,"BR-HW",3450,1.73655
2021-02-12 11:21:18,270.5,13.68,151.6,32.71,7.77,59.4775703346931,"BR-HW",3450,1.73655
2021-02-12 11:21:19,270.5,13.68,151.6,25.99,7.77,47.7639890226818,"BR-HW",3450,1.73655
2021-02-12 11:21:20,270.5,13.68,151.6,24.67,7.77,45.4476029953789,"BR-HW",3450,1.73655
2021-02-12 11:21:21,270.5,13.68,151.6,24.91,7.77,45.8691820418574,"BR-HW",3450,1.73655
2021-02-12 11:21:22,270.6,13.68,151.6,24.75,7.77,45.5881503413167,"BR-HW",3450,1.73655
2021-02-12 11:21:23,270.6,13.68,151.6,24.71,7.77,45.5178793003859,"BR-HW",3450,1.73655
2021-02-12 11:21:24,270.7,13.68,151.6,24.71,7.77,45.5178793003859,"BR-HW",3450,1.73655
2021-02-12 11:21:25,270.7,13.68,151.6,25.08,7.77,46.1676867250805,"BR-HW",3450,1.73655
2021-02-12 11:21:26,270.7,13.68,151.6,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
2021-02-12 11:21:27,270.8,13.68,151.6,25.33,7.77,46.6064943250424,"BR-HW",3450,1.73655
2021-02-12 11:21:28,270.8,13.68,151.7,25.42,7.77,46.7644159030005,"BR-HW",3450,1.73655
2021-02-12 11:21:29,270.8,13.68,151.7,25.24,7.77,46.4485467797419,"BR-HW",3450,1.73655
2021-02-12 11:21:30,270.8,13.68,151.7,25.21,7.77,46.395891810729,"BR-HW",3450,1.73655
2021-02-12 11:21:31,270.8,13.68,151.7,25.18,7.77,46.3432339420907,"BR-HW",3450,1.73655
2021-02-12 11:21:32,270.8,13.68,151.7,25.21,7.77,46.395891810729,"BR-HW",3450,1.73655
2021-02-12 11:21:33,270.8,13.68,151.7,25.2,7.77,46.3783395102085,"BR-HW",3450,1.73655
2021-02-12 11:21:34,270.8,13.68,151.7,25.23,7.77,46.4309954453621,"BR-HW",3450,1.73655
2021-02-12 11:21:35,270.7,13.68,151.7,25.28,7.77,46.5187489007949,"BR-HW",3450,1.73655
2021-02-12 11:21:36,270.7,13.68,151.7,25.31,7.77,46.5713971180226,"BR-HW",3450,1.73655
2021-02-12 11:21:37,270.7,13.68,151.6,25.4,7.77,46.7293244581644,"BR-HW",3450,1.73655
2021-02-12 11:21:38,270.7,13.68,151.6,25.45,7.77,46.8170506751105,"BR-HW",3450,1.73655
2021-02-12 11:21:39,270.7,13.68,151.6,25.46,7.77,46.8345949609675,"BR-HW",3450,1.73655
2021-02-12 11:21:40,270.7,13.68,151.6,25.27,7.77,46.5011988527351,"BR-HW",3450,1.73655
2021-02-12 11:21:41,270.6,13.68,151.6,25.26,7.77,46.4836484832951,"BR-HW",3450,1.73655
2021-02-12 11:21:42,270.6,13.68,151.6,25.19,7.77,46.3607868873737,"BR-HW",3450,1.73655
2021-02-12 11:21:43,270.6,13.68,151.6,25.19,7.77,46.3607868873737,"BR-HW",3450,1.73655
2021-02-12 11:21:44,270.6,13.68,151.6,24.86,7.77,45.7813686335468,"BR-HW",3450,1.73655
2021-02-12 11:21:45,270.6,13.68,151.6,28.3,7.77,51.8047409466218,"BR-HW",3450,1.73655
2021-02-12 11:21:46,270.5,13.68,151.6,23.92,7.77,44.1289359914203,"BR-HW",3450,1.73655
2021-02-12 11:21:47,270.5,13.68,151.5,25.49,7.77,46.8872259058343,"BR-HW",3450,1.73655
2021-02-12 11:21:48,270.5,13.68,151.5,25.16,7.77,46.3081270836442,"BR-HW",3450,1.73655
2021-02-12 11:21:49,270.5,13.68,151.5,25.94,7.77,47.6763480807055,"BR-HW",3450,1.73655
2021-02-12 11:21:50,270.4,13.67,151.5,22.59,7.77,41.7857498484101,"BR-HW",3450,1.73655
2021-02-12 11:21:51,270.4,13.68,151.5,25.54,7.77,46.9749377794459,"BR-HW",3450,1.73655
2021-02-12 11:21:52,270.3,13.68,151.5,25.3,7.77,46.5538480333058,"BR-HW",3450,1.73655
2021-02-12 11:21:53,270.3,13.68,151.5,25.09,7.77,46.1852429022324,"BR-HW",3450,1.73655
2021-02-12 11:21:54,270.3,13.68,151.5,24.69,7.77,45.4827418064494,"BR-HW",3450,1.73655
2021-02-12 11:21:55,270.2,13.68,151.5,24.57,7.77,45.2718891438488,"BR-HW",3450,1.73655
2021-02-12 11:21:56,270.2,13.68,151.5,24.47,7.77,45.0961421955923,"BR-HW",3450,1.73655
2021-02-12 11:21:57,270.2,13.68,151.4,23.91,7.77,44.1113409675437,"BR-HW",3450,1.73655
2021-02-12 11:21:58,270.3,13.68,151.4,25.17,7.77,46.3256806742256,"BR-HW",3450,1.73655
2021-02-12 11:21:59,270.3,13.68,151.4,24.84,7.77,45.7462409826892,"BR-HW",3450,1.73655
2021-02-12 11:22:00,270.3,13.68,151.4,26.61,7.77,48.8500934292895,"BR-HW",3450,1.73655
2021-02-12 11:22:01,270.4,13.68,151.4,25.43,7.77,46.7819611462583,"BR-HW",3450,1.73655
2021-02-12 11:22:02,270.4,13.68,151.4,25.05,7.77,46.1150162495158,"BR-HW",3450,1.73655
2021-02-12 11:22:03,270.5,13.68,151.4,24.83,7.77,45.7286766665243,"BR-HW",3450,1.73655
2021-02-12 11:22:04,270.5,13.68,151.3,25.11,7.77,46.2203542852924,"BR-HW",3450,1.73655
2021-02-12 11:22:05,270.6,13.68,151.3,25.26,7.77,46.4836484832951,"BR-HW",3450,1.73655
2021-02-12 11:22:06,270.6,13.68,151.3,25.22,7.77,46.413443789069,"BR-HW",3450,1.73655
2021-02-12 11:22:07,270.6,13.68,151.3,25.22,7.77,46.413443789069,"BR-HW",3450,1.73655
2021-02-12 11:22:08,270.7,13.68,151.3,25.24,7.77,46.4485467797419,"BR-HW",3450,1.73655
2021-02-12 11:22:09,270.7,13.68,151.3,25.18,7.77,46.3432339420907,"BR-HW",3450,1.73655
2021-02-12 11:22:10,270.7,13.68,151.3,25.15,7.77,46.2905731702123,"BR-HW",3450,1.73655
2021-02-12 11:22:11,270.6,13.68,151.2,25.02,7.77,46.0623428549451,"BR-HW",3450,1.73655
2021-02-12 11:22:12,270.6,13.68,151.2,25.09,7.77,46.1852429022324,"BR-HW",3450,1.73655
2021-02-12 11:22:13,270.6,13.68,151.2,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
2021-02-12 11:22:14,270.6,13.68,151.2,25.17,7.77,46.3256806742256,"BR-HW",3450,1.73655
2021-02-12 11:22:15,270.6,13.68,151.2,25.07,7.77,46.1501302240006,"BR-HW",3450,1.73655
2021-02-12 11:22:16,270.6,13.68,151.2,25.07,7.77,46.1501302240006,"BR-HW",3450,1.73655
2021-02-12 11:22:17,270.5,13.68,151.2,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
2021-02-12 11:22:18,270.5,13.68,151.2,25.13,7.77,46.2554643742598,"BR-HW",3450,1.73655
