,Na - mg/l,Mg - mg/l,Al - mg/l,Si2 - mg/l,P - mg/l,S - mg/l,K - mg/l,Mn - mg/l,Fe - mg/l,Pb - mg/l,SSC(15s) - mg/l,Q - m3/s,V - m/s,Gain Size,Campaign,Date
0,1.5846058504938347,1.1555121625222453,-2.3905164615265644,0.11434171291115343,-1.3257418407816466,1.293354491125199,0.7152904914112447,-2.6060387657933,-2.236680652650409,-3.8574763238334953,0.8670476626378315,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:25:00
1,1.4861109699966246,1.0606445657697232,-2.3206870798989296,0.0663642347829859,-1.4333451705243239,1.1859673586188246,0.6227633738208851,-2.7021396935883657,-2.3125200869569413,-3.7106463347041223,0.7827835922535794,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:25:15
2,1.6407994676395379,1.2043901546297269,-2.3295080157927663,0.14898473553783673,-1.2752582730554265,1.3569253436070714,0.761210915903048,-2.558786678662459,-2.2195657182198967,-3.8543988720914695,0.8000213215298724,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:25:30
3,1.7768500614145202,1.3522937295830826,-2.110369349048705,0.3035202450404048,-1.1456399911998245,1.4704539433905486,0.8888331102149929,-2.424618768801498,-2.0311180896858336,-3.036836923898989,0.8109991185650377,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:25:45
4,1.7572535781024268,1.3174914475154764,-2.1426537631912375,0.22017293199864266,-1.18055127105902,1.4524580724082976,0.8736823582330235,-2.454749292028355,-2.0357115818429277,-3.3526076163610647,0.7592561961775203,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:26:00
5,1.7147056800099376,1.274301936049538,-2.2287124572272816,0.13753541236033578,-1.233465154097627,1.4019382009770731,0.8418453244248797,-2.512115547018283,-2.111878831364658,-4.113077918846078,0.821183806941648,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:26:15
6,1.7780153894212842,1.3362389734967866,-2.1934074265922434,0.1577181114916989,-1.176596510837154,1.4596790780531184,0.9056585404037043,-2.425232575605072,-2.055025984938556,-3.9403465292863045,0.7958048574954686,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:26:30
7,1.9357852712513806,1.5055845920235051,-2.0518154697046493,0.4008433526633698,-1.0238417682419945,1.6233822821279371,1.0617903376923958,-2.2676909462359363,-1.901267931060738,-3.9542122345233732,0.8146820036900182,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:26:45
8,1.7385128438351758,1.2991515689421997,-2.2536695868459433,0.21010266598751123,-1.2152566919663792,1.4179585584401797,0.8599244078265943,-2.482262487266336,-2.1352266553259547,-4.280915435828573,0.8093029903135084,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:27:00
9,1.8033192990414542,1.3723243013439506,-2.0887551880883195,0.2969699884938142,-1.151595861976071,1.4731814297980679,0.9369930827199702,-2.4123610791888583,-2.010899697942888,-4.119513297308615,0.8118593012111354,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:27:15
10,1.8245597023361415,1.3906638805541076,-2.1358965063114836,0.28629994215632776,-1.1273553469790787,1.5045093674159145,0.9502880967063412,-2.3911902421151296,-2.010935539616344,-4.018719853135772,0.8175643668516182,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:27:30
11,1.7187222624958691,1.2811871939381263,-2.253223310005766,0.24985947478458884,-1.2465031144470085,1.3969140993544182,0.8519792641979179,-2.506032896714659,-2.1184421641735627,-3.7200289373479527,0.8290201578673269,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:27:45
12,1.649987864756513,1.2240046988053481,-2.243571198035717,0.23094647721476136,-1.3271313415223842,1.3102718732858252,0.8099123682159316,-2.5642053078548317,-1.982612789346406,-4.092631721439861,0.8459862353937734,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:28:00
13,1.5793479890949933,1.1414693949149701,-2.3745726346917464,0.021318473366429978,-1.3833318843006406,1.2653066955147783,0.7278053100077575,-2.6530802439334864,-2.249964641739538,-3.962930204275323,0.8217577288848352,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:28:15
14,1.6368183380172008,1.1951140205227275,-2.2907331778310214,0.16701337796409996,-1.3299145096071934,1.3150704825856612,0.7766779334327453,-2.5916821255144575,-2.191487505404462,-3.359753274657723,0.8302751964112159,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:28:30
15,1.5479229800741223,1.1059119059307014,-2.371795296782618,0.05718963988275981,-1.3991766053865116,1.2464271531759596,0.6779164353584605,-2.6744254124558076,-2.228170462343112,-4.2974414947920465,0.8437874849783084,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:29:00
16,1.6712688098953428,1.2271257150794161,-2.255006729940398,0.16082431773437006,-1.2853081097774661,1.3630489721379022,0.7939355139435885,-2.5555099512458974,-2.1551535472964023,-4.302124510293848,0.8359950207426821,2.9242792860618816,0.007930586882614955,-1.951411384671155,BR-LW,2020-09-23 11:29:15
