;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
46;-3.007391682;1.561942551;0.254444561;-0.202837404;0.136707492;-0.457476883;KAA-LW;2020-09-23 14:44:00
47;-3.051762991;1.31567023;-0.236204972;-0.52473764;0.06584436;-0.741859807;KAA-LW;2020-09-23 14:44:15
48;-2.894262712;1.697201988;0.061504715;-0.332233836;0.124573358;-0.425700066;KAA-LW;2020-09-23 14:44:30
49;-2.488845065;1.544669294;0.171900458;-0.195020273;0.24244676;-0.691607697;KAA-LW;2020-09-23 14:45:45
50;2.178269046;3.247119803;0.6150684;0.908182559;0.725859876;-0.236748389;KAA-LW;2020-09-23 14:46:15
51;-0.06871784;2.612023426;-0.2494305;0.018216632;0.299827229;-0.167862187;KAA-LW;2020-09-23 14:46:30
52;-1.582786002;1.819282624;0.290290929;0.055114893;0.33392472;-0.699049505;KAA-LW;2020-09-23 14:46:45
53;-2.404202325;1.529682721;0.059389993;-0.203900164;0.266950368;-0.626103155;KAA-LW;2020-09-23 14:47:00
54;-1.809468866;1.894138591;-0.268993688;-0.342378707;0.224771174;-0.511203506;KAA-LW;2020-09-23 14:47:15
55;-2.408172648;1.840726638;0.244276835;-0.127192595;0.285830066;-0.399500453;KAA-LW;2020-09-23 14:47:30
56;-2.018825144;1.93646613;-0.10461622;-0.264594449;0.285112418;-0.418513142;KAA-LW;2020-09-23 14:48:00
57;-1.770032602;1.848003368;-0.409689413;-0.391230968;0.206059848;-0.528754818;KAA-LW;2020-09-23 14:48:15
58;-1.613091513;1.839811587;0.260218608;0.068552376;0.361123189;-0.518924025;KAA-LW;2020-09-23 14:48:30
59;-1.509459132;1.85704725;1.235173193;0.72455091;0.558359517;-0.383715927;KAA-LW;2020-09-23 14:48:45
60;-1.398465875;2.139305212;0.057252753;-0.069657015;0.2907634;-0.532158086;KAA-LW;2020-09-23 14:49:00
61;-1.536260906;1.971497756;-0.41649628;-0.360619801;0.215546179;-0.51869414;KAA-LW;2020-09-23 14:49:15
62;-2.304576113;1.462575841;0.437881188;0.062098266;0.352759824;-0.679503187;KAA-LW;2020-09-23 14:49:30
63;-2.898089897;1.375753542;-0.078184176;-0.388492223;0.239116215;-0.607190034;KAA-LW;2020-09-23 14:49:45
64;-2.381556471;1.760785166;0.168605944;-0.143581344;0.309356124;-0.441312848;KAA-LW;2020-09-23 14:50:00
65;-2.326480816;1.494068148;0.63016004;0.153737741;0.418069764;-0.754801274;KAA-LW;2020-09-23 14:50:15
66;-1.282077424;1.818432177;-0.453618361;-0.272575056;0.331774578;-0.539395057;KAA-LW;2020-09-23 14:50:30
67;-1.632166164;1.897737121;-0.033462347;-0.150297131;0.358757463;-0.606897619;KAA-LW;2020-09-23 14:50:45
68;-0.970531724;2.184161478;-0.069905724;0.005702024;0.431527994;-0.313569904;KAA-LW;2020-09-23 14:51:00
69;-2.040831454;1.642533185;0.21366381;0.00429605;0.421508076;-0.487914783;KAA-LW;2020-09-23 14:51:15
70;-2.034252099;1.54072176;0.872560958;0.406162036;0.606243889;-0.612931125;KAA-LW;2020-09-23 14:51:30
71;-1.772980132;2.032017364;0.039553464;-0.082727964;0.390410299;-0.256381836;KAA-LW;2020-09-23 14:51:45
72;-1.519963775;2.061589505;0.248033324;0.075726653;0.519735323;-0.311519839;KAA-LW;2020-09-23 14:52:00
73;-2.711714298;2.473297273;-0.432203823;0.13642873;0.259071088;0.977267319;EM-LW;2020-09-24 12:08:45
74;-3.670610017;1.745684936;-0.106985424;0.230466204;0.219815327;0.734857429;EM-LW;2020-09-24 12:09:00
75;-0.590687879;3.016041414;-0.691709237;0.309076564;0.437748326;0.730977772;EM-LW;2020-09-24 12:09:15
76;-3.464043404;1.687153728;-0.278270607;0.148616491;0.206743865;0.564148489;EM-LW;2020-09-24 12:09:30
77;-4.041586122;1.63946659;-0.290939516;0.009175793;0.17938607;0.625208209;EM-LW;2020-09-24 12:09:45
78;-4.179904001;1.661346665;-0.055859741;0.106950419;0.181221694;0.723844882;EM-LW;2020-09-24 12:10:00
79;-3.105866763;2.09643388;-0.476546203;0.082921936;0.196913474;0.943611695;EM-LW;2020-09-24 12:10:15
80;-5.410642791;1.296281816;0.371098077;0.210565164;0.093197369;0.881692211;EM-LW;2020-09-24 12:10:30
81;0.077257677;3.356141148;-0.642885215;0.443514411;0.465688841;0.84389331;EM-LW;2020-09-24 12:10:45
82;-3.069722654;2.197537733;-0.53519358;0.005096826;0.110858517;0.812712189;EM-LW;2020-09-24 12:11:00
83;-2.903238108;2.1979782;-0.695719416;-0.071167496;0.11679859;0.694679729;EM-LW;2020-09-24 12:11:15
84;-3.963462482;1.666200599;0.394249806;0.43081784;0.274086338;0.631638467;EM-LW;2020-09-24 12:11:30
85;-4.074675512;1.702081049;-0.394973679;-0.041920601;-0.012209009;0.816597072;EM-LW;2020-09-24 12:11:45
86;-3.804484997;2.010904572;-0.283998265;0.064509114;0.03761925;1.069500092;EM-LW;2020-09-24 12:12:00
87;-2.037723968;2.166056373;0.110430961;0.636389336;0.400736702;0.657070624;EM-LW;2020-09-24 12:12:15
88;-0.331611534;3.046359459;-0.995948961;0.20647701;0.32500273;0.757939113;EM-LW;2020-09-24 12:12:30
89;-4.204955496;1.592591642;-0.314867596;-0.036736984;0.097383932;0.69626624;EM-LW;2020-09-24 12:12:45
90;-4.361025615;1.511882984;-0.218788527;-5.4333E-06;0.044367449;0.659816129;EM-LW;2020-09-24 12:13:00
91;-4.332887888;1.539675279;-0.301740282;-0.043472784;-0.019678425;0.645068559;EM-LW;2020-09-24 12:13:15
92;-3.762320973;1.716533767;-0.113191715;0.164504534;0.142748322;0.705818721;EM-LW;2020-09-24 12:13:45
93;0.0816379;3.320521023;-0.74647549;0.418294941;0.37124708;0.912447216;EM-LW;2020-09-24 12:14:00
